center	histRNA_all	histRNA_all_norm	histpix_all_norm	hist_RNA_all_normPix	probe
1	5	2421	0.458783	0.28164	1.628973	erm-1
2	15	844	0.159939	0.196418	0.814282	erm-1
3	25	596	0.112943	0.161432	0.69963	erm-1
4	35	449	0.085086	0.122851	0.692598	erm-1
5	45	320	0.060641	0.090389	0.670886	erm-1
6	55	279	0.052871	0.065365	0.808856	erm-1
7	65	203	0.038469	0.044042	0.873463	erm-1
8	75	110	0.020845	0.026421	0.788963	erm-1
9	85	55	0.010423	0.011443	0.910816	erm-1
10	5	4238	0.279958	0.28164	0.994028	set-3
11	15	3032	0.200291	0.196418	1.019718	set-3
12	25	2352	0.155371	0.161432	0.96245	set-3
13	35	1778	0.117453	0.122851	0.956061	set-3
14	45	1361	0.089906	0.090389	0.994662	set-3
15	55	1040	0.068701	0.065365	1.05104	set-3
16	65	762	0.050337	0.044042	1.142936	set-3
17	75	443	0.029264	0.026421	1.107608	set-3
18	85	132	0.00872	0.011443	0.76201	set-3
