center	width	histRNA_all	histPIX_all	histRNA_norm	RNA_norm	PIX_norm	histRNA_SCALED	probe
1	-40	20	0	498	0	0	0.000354887	0	imb-2
2	-20	20	86	227025	0.003217	0.177319588	0.161783643	1.096029144	imb-2
3	0	20	601	741521	0.006882	1.239175258	0.528426247	2.345029729	imb-2
4	20	20	522	1206920	0.003673	1.07628866	0.860081111	1.251380418	imb-2
5	40	20	551	1376200	0.0034	1.136082474	0.980714235	1.158423558	imb-2
6	60	20	491	1227541	0.003396	1.012371134	0.874776147	1.157291654	imb-2
7	80	20	191	595363	0.002724	0.393814433	0.424270433	0.928215597	imb-2
8	100	20	124	356509	0.002953	0.255670103	0.254057151	1.006348776	imb-2
9	120	20	120	338749	0.003008	0.24742268	0.241400935	1.024944997	imb-2
10	140	20	107	338768	0.002682	0.220618557	0.241414475	0.913858032	imb-2
11	160	20	106	316618	0.002843	0.218556701	0.225629836	0.968651599	imb-2
12	180	20	71	286140	0.002107	0.146391753	0.203910457	0.717921751	imb-2
13	200	20	83	231428	0.003045	0.171134021	0.16492133	1.037670633	imb-2
14	220	20	80	201194	0.003376	0.164948454	0.143375832	1.150462051	imb-2
15	240	20	75	185313	0.003437	0.154639175	0.132058638	1.170988722	imb-2
16	260	20	70	182570	0.003256	0.144329897	0.130103908	1.109343288	imb-2
17	-40	20	0	498	0	0	0.000354887	0	set-3
18	-20	20	2	227025	0.001127	0.052631579	0.161783643	0.325320768	set-3
19	0	20	17	741521	0.002932	0.447368421	0.528426247	0.846605224	set-3
20	20	20	33	1206920	0.003497	0.868421053	0.860081111	1.009696692	set-3
21	40	20	24	1376200	0.00223	0.631578947	0.980714235	0.64399896	set-3
22	60	20	32	1227541	0.003334	0.842105263	0.874776147	0.962652293	set-3
23	80	20	12	595363	0.002578	0.315789474	0.424270433	0.744311763	set-3
24	100	20	14	356509	0.005022	0.368421053	0.254057151	1.450150295	set-3
25	120	20	12	338749	0.00453	0.315789474	0.241400935	1.308153483	set-3
26	140	20	10	338768	0.003775	0.263157895	0.241414475	1.090066762	set-3
27	160	20	10	316618	0.004039	0.263157895	0.225629836	1.166325783	set-3
28	180	20	5	286140	0.002235	0.131578947	0.203910457	0.645278075	set-3
29	200	20	7	231428	0.003868	0.184210526	0.16492133	1.116959987	set-3
30	220	20	5	201194	0.003178	0.131578947	0.143375832	0.91772055	set-3
31	240	20	5	185313	0.003451	0.131578947	0.132058638	0.996367597	set-3
32	260	20	6	182570	0.004203	0.157894737	0.130103908	1.213604875	set-3
