	center	width	histRNA_all	histPIX_all	RNA_norm	PIX_norm	histRNA_SCALED	probe
1	-20	20	75	116867	0.041993	0.047433	0.885311	imb-2
2	0	20	445	337833	0.24916	0.137118	1.817123	imb-2
3	20	20	425	541063	0.237962	0.219604	1.083596	imb-2
4	40	20	431	640048	0.241321	0.259779	0.928948	imb-2
5	60	20	265	447316	0.148376	0.181554	0.817256	imb-2
6	80	20	66	184641	0.036954	0.074941	0.493108	imb-2
7	100	20	39	75404	0.021837	0.030605	0.713504	imb-2
8	120	20	16	47655	0.008959	0.019342	0.463167	imb-2
9	140	20	13	36889	0.007279	0.014972	0.486153	imb-2
10	160	20	10	25065	0.005599	0.010173	0.550375	imb-2
11	180	20	1	11033	0.00056	0.004478	0.125035	imb-2
12	-20	20	9	116867	0.022843	0.047433	0.481573	set-3
13	0	20	43	337833	0.109137	0.137118	0.795936	set-3
14	20	20	114	541063	0.28934	0.219604	1.317555	set-3
15	40	20	111	640048	0.281726	0.259779	1.084481	set-3
16	60	20	71	447316	0.180203	0.181554	0.992557	set-3
17	80	20	26	184641	0.06599	0.074941	0.880556	set-3
18	100	20	5	75404	0.01269	0.030605	0.414655	set-3
19	120	20	7	47655	0.017766	0.019342	0.918547	set-3
20	140	20	3	36889	0.007614	0.014972	0.508553	set-3
21	160	20	5	25065	0.01269	0.010173	1.247424	set-3
22	180	20	0	11033	0	0.004478	0	set-3
