RowNo	Image	Transcript	Cell_Stage	Total_No_RNA	No_RNA_clusters	No_RNA_in_clusters	fraction_RNA_in_clusters	Average_No_RNA_per_Cluster		
1	2-cell_01_C1	chs-1	2-cell	1649	67	804	0.487568223	12		
2	2-cell_03_C1	chs-1	2-cell	3170	64	917	0.289274448	14.328125		
3	2-cell_05_C1	chs-1	2-cell	3879	134	1399	0.360659964	10.44029851		
4	2-cell_09_C1	chs-1	2-cell	1604	64	767	0.478179551	11.984375		
5	2-cell_12_C1	chs-1	2-cell	2702	86	1026	0.379718727	11.93023256		
6	4-cell_170604_08_C2	chs-1	4-cell	84	4	29	0.345238095	7.25		
7	4-cell_170604_09_C2	chs-1	4-cell	1150	47	568	0.493913043	12.08510638		
8	4-cell_170604_10_C2	chs-1	4-cell	531	26	243	0.457627119	9.346153846		
9	4-cell_170604_16_C2	chs-1	4-cell	1466	46	636	0.433833561	13.82608696		
10	4-cell_170604_18_C2	chs-1	4-cell	1898	76	992	0.522655427	13.05263158		
11	4-cell_170604_18-2_C2	chs-1	4-cell	370	16	177	0.478378378	11.0625		
12	4-cell_170604_21_C2	chs-1	4-cell	597	25	255	0.427135678	10.2		
13	4-cell_170921_01_C2	chs-1	4-cell	232	11	122	0.525862069	11.09090909		
14	4-cell_170921_02_C2	chs-1	4-cell	489	16	216	0.441717791	13.5		
15	4-cell_170921_04_C2	chs-1	4-cell	629	24	387	0.615262321	16.125		
16	4-cell_170921_10_C2	chs-1	4-cell	504	16	282	0.55952381	17.625		
17	4-cell_170928_09_C2	chs-1	4-cell	572	15	218	0.381118881	14.53333333		
18	4-cell_170928_11_C2	chs-1	4-cell	657	16	315	0.479452055	19.6875		
19	4-cell_170928_12_C2	chs-1	4-cell	753	32	327	0.434262948	10.21875		
20	4-cell_171003_03_C2	chs-1	4-cell	576	25	358	0.621527778	14.32		
21	4-cell_171003_04_C2	chs-1	4-cell	316	15	210	0.664556962	14		
22	4-cell_171003_07_C2	chs-1	4-cell	675	19	296	0.438518519	15.57894737		
23	4-cell_171003_13_C2	chs-1	4-cell	365	15	106	0.290410959	7.066666667		
24	4-cell_171015_03_bottom_C2	chs-1	4-cell	767	27	435	0.56714472	16.11111111		
25	4-cell_171015_03_top_C2	chs-1	4-cell	759	25	356	0.469038208	14.24		
26	4-cell_171015_04_C2	chs-1	4-cell	710	28	327	0.46056338	11.67857143		
27	8-cell_02_C1	chs-1	8-cell	485	22	225	0.463917526	10.22727273		
28	8-cell_03_C1	chs-1	8-cell	226	11	93	0.411504425	8.454545455		
29	8-cell_04_C1	chs-1	8-cell	414	15	162	0.391304348	10.8		
30	8-cell_04-2_C1	chs-1	8-cell	298	11	155	0.520134228	14.09090909		
31	8-cell_08_C1	chs-1	8-cell	441	14	217	0.492063492	15.5		
32	12-14-cell_01_C1	chs-1	12-14-cell	188	7	90	0.478723404	12.85714286		
33	12-14-cell_03_C1	chs-1	12-14-cell	129	3	52	0.403100775	17.33333333		
34	12-14-cell_05_C1	chs-1	12-14-cell	184	8	88	0.47826087	11		
35	12-14-cell_07_C1	chs-1	12-14-cell	287	10	143	0.49825784	14.3		
36	12-14-cell_14_C1	chs-1	12-14-cell	214	8	122	0.570093458	15.25		
37	16-24-cell_01_C1	chs-1	16-24-cell	92	5	30	0.326086957	6		
38	16-24-cell_01-1_C2	chs-1	16-24-cell	112	4	30	0.267857143	7.5		
39	16-24-cell_02_C1	chs-1	16-24-cell	144	6	65	0.451388889	10.83333333		
40	16-24-cell_15_C2	chs-1	16-24-cell	82	3	40	0.487804878	13.33333333		
41	26-48-cell_02_C2	chs-1	26-48-cell	171	6	74	0.432748538	12.33333333		
