;index;z;y;x;radius;int_mean;coloc
0;1;43;254;106;2.8284271247461903;356;False
1;2;39;354;230;2.8284271247461903;265;False
2;3;39;205;88;2.8284271247461903;497;True
3;4;36;294;115;2.8284271247461903;313;False
4;5;36;248;399;14.142135623730951;273;True
5;6;36;215;79;2.8284271247461903;398;False
6;7;35;263;348;14.142135623730951;303;False
7;8;34;252;95;2.8284271247461903;371;False
8;9;33;207;110;2.8284271247461903;322;True
9;10;32;272;314;14.142135623730951;311;False
10;11;24;304;129;2.8284271247461903;269;False
11;12;24;303;220;2.8284271247461903;320;False
12;13;21;313;230;2.8284271247461903;282;False
13;14;21;222;226;2.8284271247461903;373;True
14;15;21;221;140;2.8284271247461903;522;False
15;16;20;268;113;2.8284271247461903;430;False
16;17;20;221;162;4.085505846855608;556;False
17;18;19;262;430;2.8284271247461903;265;True
18;19;19;173;98;2.8284271247461903;230;False
19;20;18;272;87;4.085505846855608;1557;True
20;21;18;206;142;2.8284271247461903;513;False
21;22;17;287;229;2.8284271247461903;339;False
22;23;17;282;267;2.8284271247461903;468;True
23;24;17;233;246;4.085505846855608;378;True
24;25;17;191;433;2.8284271247461903;261;True
25;26;16;252;162;2.8284271247461903;391;False
26;27;16;189;120;2.8284271247461903;322;True
27;28;15;264;122;2.8284271247461903;1328;True
28;29;15;207;260;4.085505846855608;370;True
29;30;15;197;181;2.8284271247461903;321;True
30;31;14;264;179;2.8284271247461903;987;True
31;32;14;231;135;4.085505846855608;1980;True
32;33;14;188;271;2.8284271247461903;266;True
33;34;13;298;226;2.8284271247461903;311;False
34;35;13;221;215;5.342584568965026;483;True
35;36;13;212;191;2.8284271247461903;317;True
36;37;12;309;157;2.8284271247461903;277;False
37;38;12;300;127;2.8284271247461903;433;False
38;39;12;289;166;4.085505846855608;1176;True
39;40;12;278;79;2.8284271247461903;352;False
40;41;12;260;108;4.085505846855608;1120;True
41;42;12;257;170;2.8284271247461903;1237;True
42;43;12;231;202;2.8284271247461903;613;True
43;44;12;210;318;2.8284271247461903;363;True
44;45;12;209;127;2.8284271247461903;505;False
45;46;12;169;155;2.8284271247461903;361;True
46;47;11;295;141;2.8284271247461903;315;False
47;48;11;272;192;2.8284271247461903;375;False
48;49;11;264;208;2.8284271247461903;304;False
49;50;11;207;431;4.085505846855608;321;True
50;51;11;205;155;5.342584568965026;2576;True
51;52;10;230;172;4.085505846855608;1641;True
52;53;10;199;237;4.085505846855608;431;True
53;54;9;263;175;2.8284271247461903;868;False
54;55;9;217;151;2.8284271247461903;789;False
55;56;8;240;137;2.8284271247461903;584;False
56;57;8;238;130;2.8284271247461903;550;False
57;58;8;171;373;2.8284271247461903;267;True
58;59;4;240;175;2.8284271247461903;554;False
59;60;4;211;143;2.8284271247461903;689;False
60;61;0;255;149;5.342584568965026;360;False
61;62;0;244;182;5.342584568965026;440;False
62;63;0;239;160;5.342584568965026;485;False
63;64;0;233;107;5.342584568965026;319;False
64;65;0;223;158;5.342584568965026;692;False
65;66;0;213;175;5.342584568965026;573;False
66;67;0;197;136;5.342584568965026;473;False
67;68;0;195;175;5.342584568965026;437;False
68;69;0;184;154;5.342584568965026;429;False
