;index;z;y;x;n_rna;coloc
0;1;190;434;19;29;True
1;2;200;239;11;65;True
2;3;233;248;19;37;True
3;4;223;217;14;151;True
4;5;170;375;10;40;True
5;6;201;160;13;102;True
6;7;211;156;14;7;False
7;8;276;256;9;17;False
8;9;226;292;14;6;False
9;10;207;431;12;91;True
10;11;230;175;12;53;True
11;12;265;178;12;26;True
12;13;133;200;8;5;False
13;14;230;508;9;7;False
14;15;271;87;19;26;True
15;16;287;231;18;11;False
16;17;259;110;13;24;True
17;18;169;157;13;32;True
18;19;256;171;12;15;True
19;20;207;261;16;72;True
20;21;207;262;11;6;True
21;22;281;268;19;30;True
22;23;284;264;11;5;False
23;24;87;268;11;5;False
24;25;94;340;10;6;False
25;26;101;443;11;5;False
26;27;178;453;13;20;False
27;28;231;138;15;39;True
28;29;212;191;14;20;True
29;30;272;191;14;5;False
30;31;231;202;12;8;True
31;32;155;215;11;5;False
32;33;210;320;13;23;True
33;34;253;356;17;10;False
34;35;175;525;13;10;False
35;36;184;144;14;15;False
36;37;289;168;14;15;True
37;38;285;171;14;7;False
38;39;301;128;14;6;False
39;40;187;273;15;13;True
40;41;306;353;15;30;False
41;42;229;389;15;13;False
42;43;189;122;18;24;False
43;44;189;122;14;7;True
44;45;197;182;16;15;True
45;46;190;399;19;35;False
46;47;190;435;14;6;True
47;48;263;123;16;11;True
48;49;327;186;17;5;False
49;50;298;238;16;9;False
50;51;253;417;20;15;False
51;52;209;144;20;19;False
52;53;263;432;20;25;True
53;54;256;292;18;6;False
54;55;295;414;21;15;False
55;56;216;419;20;9;False
56;57;291;212;24;9;False
57;58;287;209;20;7;False
58;59;199;414;21;5;False
59;60;276;176;25;7;False
60;61;322;341;22;5;False
61;62;204;369;23;6;False
62;63;300;164;24;8;False
63;64;305;221;25;6;False
64;65;222;227;21;10;True
65;66;297;449;25;5;False
66;67;310;295;35;8;False
67;68;316;296;27;6;False
68;69;306;206;30;14;False
69;70;206;111;32;6;True
70;71;284;295;35;7;False
71;72;292;295;36;5;False
72;73;280;156;37;5;False
73;74;203;89;39;9;True
74;75;244;410;42;11;True
75;76;190;125;41;5;False
76;77;325;254;44;16;False
77;78;266;280;48;7;False
78;79;267;270;46;7;False
79;80;280;271;48;5;False
