;index;z;y;x;n_rna;coloc
0;1;140;380;25;7;False
1;2;155;512;15;36;True
2;3;206;480;25;10;False
3;4;311;314;9;17;False
4;5;272;260;10;10;False
5;6;120;463;11;11;False
6;7;125;483;12;35;True
7;8;124;479;22;6;False
8;9;117;487;19;5;True
9;10;142;505;12;20;True
10;11;123;504;17;77;True
11;12;152;522;16;18;True
12;13;156;519;32;16;True
13;14;176;310;15;6;False
14;15;177;473;16;9;True
15;16;208;505;17;16;True
16;17;294;448;17;16;False
17;18;191;486;18;9;False
18;19;172;501;18;5;True
19;20;235;507;20;7;True
20;21;125;453;21;12;False
21;22;235;485;21;20;True
22;23;233;388;25;31;True
23;24;141;451;21;13;False
24;25;160;530;22;30;True
25;26;169;476;26;18;False
26;27;133;270;23;10;False
27;28;140;407;22;5;False
28;29;182;434;25;13;False
29;30;140;441;24;15;False
30;31;186;460;24;8;False
31;32;191;494;22;5;False
32;33;103;468;23;5;False
33;34;167;453;26;18;False
34;35;168;449;30;4;False
35;36;273;453;29;11;False
36;37;132;528;26;5;True
37;38;147;406;27;6;False
38;39;97;478;28;13;True
39;40;179;350;30;15;False
40;41;220;288;31;9;False
41;42;267;420;36;14;False
42;43;304;397;36;8;False
43;44;159;467;34;5;False
44;45;250;498;32;6;True
45;46;224;532;35;18;True
46;47;216;536;35;5;False
47;48;278;367;32;5;False
48;49;171;326;35;12;False
49;50;270;377;35;5;False
50;51;183;513;39;14;False
51;52;183;513;34;5;False
52;53;159;544;36;7;True
53;54;155;280;37;7;False
54;55;234;408;37;9;False
55;56;219;451;37;8;True
56;57;324;375;44;5;False
57;58;257;516;41;6;True
58;59;297;338;39;6;False
59;60;272;493;45;58;True
60;61;264;501;56;8;True
61;62;263;501;60;6;True
62;63;276;461;45;21;True
63;64;266;441;44;8;False
64;65;300;418;44;6;False
65;66;264;470;45;9;False
66;67;226;526;46;43;True
67;68;327;344;52;6;False
68;69;311;347;45;8;False
69;70;280;409;46;10;False
70;71;274;431;47;9;False
71;72;269;429;55;5;False
72;73;168;492;46;7;False
73;74;239;490;49;17;True
74;75;238;497;58;15;True
75;76;145;519;50;19;True
76;77;144;513;52;5;True
77;78;162;526;51;5;True
78;79;210;521;54;5;True
79;80;302;430;54;8;False
