;index;z;y;x;radius;int_mean;coloc
0;1;33;206;429;2.8284271247461903;250;False
1;2;33;109;412;2.8284271247461903;405;True
2;3;32;229;461;4.085505846855608;478;False
3;4;32;206;451;2.8284271247461903;508;False
4;5;32;191;414;5.342584568965026;462;True
5;6;32;176;463;2.8284271247461903;310;True
6;7;32;175;347;5.342584568965026;675;True
7;8;32;149;423;4.085505846855608;757;True
8;9;31;191;372;2.8284271247461903;312;True
9;10;31;167;386;5.342584568965026;672;True
10;11;31;92;391;4.085505846855608;585;True
11;12;30;188;353;4.085505846855608;565;True
12;13;30;156;452;5.342584568965026;781;True
13;14;29;217;444;4.085505846855608;654;True
14;15;27;222;539;4.085505846855608;236;True
15;16;23;168;381;4.085505846855608;687;True
16;17;22;165;482;4.085505846855608;729;True
17;18;22;106;508;6.599663291074443;962;True
18;19;17;196;482;2.8284271247461903;326;True
19;20;16;136;418;2.8284271247461903;371;True
20;21;15;104;481;5.342584568965026;891;True
21;22;11;109;405;6.599663291074443;833;True
