;index;z;y;x;n_rna;coloc
0;1;124;446;34;6;False
1;2;141;308;21;17;False
2;3;173;345;33;29;True
3;4;387;340;34;7;False
4;5;111;410;15;12;True
5;6;107;399;12;26;True
6;7;116;413;11;5;False
7;8;116;405;11;10;True
8;9;140;343;19;12;False
9;10;142;374;12;43;False
10;11;88;387;9;5;False
11;12;165;433;20;8;False
12;13;177;429;12;5;False
13;14;101;481;16;45;True
14;15;108;483;18;7;False
15;16;193;440;23;5;False
16;17;163;459;23;7;False
17;18;155;449;29;6;True
18;19;158;456;29;5;True
19;20;208;489;12;19;False
20;21;105;508;22;53;True
21;22;102;369;17;12;False
22;23;135;418;16;12;True
23;24;140;450;15;6;False
24;25;135;386;23;7;False
25;26;358;472;13;6;False
26;27;186;352;30;38;True
27;28;178;353;17;8;False
28;29;189;356;20;12;False
29;30;137;351;23;7;False
30;31;77;396;19;6;False
31;32;82;388;24;11;False
32;33;92;348;18;14;False
33;34;125;444;18;7;False
34;35;83;474;15;7;False
35;36;274;595;16;5;False
36;37;200;247;20;5;False
37;38;165;384;28;60;True
38;39;217;444;30;15;True
39;40;190;462;17;7;False
40;41;78;418;22;11;False
41;42;164;490;19;18;False
42;43;170;484;21;14;True
43;44;166;485;26;5;False
44;45;314;321;18;5;False
45;46;92;391;30;23;True
46;47;91;385;31;5;True
47;48;92;395;18;6;False
48;49;194;412;33;36;True
49;50;186;417;31;5;True
50;51;113;441;18;5;False
51;52;195;480;18;7;True
52;53;264;245;28;5;False
53;54;146;422;32;35;True
54;55;155;423;24;6;False
55;56;153;427;30;5;False
56;57;139;419;26;5;False
57;58;153;402;20;5;False
58;59;222;482;20;5;False
59;60;221;540;27;22;True
60;61;148;332;31;8;False
61;62;153;373;22;7;False
62;63;192;380;22;5;False
63;64;221;460;24;5;False
64;65;389;357;26;5;False
65;66;240;484;23;6;False
66;67;168;499;24;5;False
67;68;409;292;28;9;False
68;69;104;384;27;9;False
69;70;393;284;31;5;False
70;71;115;365;25;15;False
71;72;217;391;27;6;False
72;73;229;508;34;16;False
73;74;192;373;32;17;True
74;75;216;409;29;9;False
75;76;279;409;26;6;False
76;77;257;425;26;5;False
77;78;251;480;26;5;False
78;79;443;378;28;5;False
79;80;128;437;28;14;False
80;81;315;443;29;5;False
81;82;256;315;30;20;False
82;83;179;549;30;5;False
83;84;122;391;29;10;False
84;85;248;448;30;7;False
85;86;211;321;33;5;False
86;87;129;366;33;5;False
87;88;207;380;30;8;False
88;89;106;412;34;12;True
89;90;88;431;29;5;False
90;91;302;443;31;6;False
91;92;124;467;31;9;False
92;93;467;336;34;11;False
93;94;244;382;33;5;False
94;95;178;462;32;6;True
95;96;300;397;33;7;False
96;97;266;513;33;5;False
97;98;192;293;33;5;False
