X	index	z	y	x	n_rna	coloc	cell	avg	transcript
1	1	2	465	276	27	16	True	Image_01	Avg	nos-2
2	28	29	460	259	14	14	True	Image_01	Avg	nos-2
3	33	34	460	250	15	18	True	Image_01	Avg	nos-2
4	40	41	473	280	33	6	True	Image_01	Avg	nos-2
5	42	43	471	287	30	17	True	Image_01	Avg	nos-2
6	43	44	512	193	33	5	True	Image_01	Avg	nos-2
7	44	45	511	186	29	5	True	Image_01	Avg	nos-2
8	0	1	54	321	18	10	True	Image_02	Avg	nos-2
9	1	2	104	337	16	31	True	Image_02	Avg	nos-2
10	4	5	114	265	12	25	True	Image_02	Avg	nos-2
11	5	6	108	264	26	20	True	Image_02	Avg	nos-2
12	9	10	125	303	16	23	True	Image_02	Avg	nos-2
13	11	12	123	327	11	5	True	Image_02	Avg	nos-2
14	12	13	119	349	16	29	True	Image_02	Avg	nos-2
15	15	16	82	339	14	12	True	Image_02	Avg	nos-2
16	20	21	53	294	21	64	True	Image_02	Avg	nos-2
17	21	22	90	291	15	29	True	Image_02	Avg	nos-2
18	22	23	91	312	15	7	True	Image_02	Avg	nos-2
19	26	27	76	239	17	17	True	Image_02	Avg	nos-2
20	27	28	100	376	18	5	True	Image_02	Avg	nos-2
21	41	42	50	329	29	9	True	Image_02	Avg	nos-2
22	44	45	107	225	31	17	True	Image_02	Avg	nos-2
23	47	48	84	223	27	5	True	Image_02	Avg	nos-2
24	50	51	112	219	34	6	True	Image_02	Avg	nos-2
25	52	53	88	376	31	6	True	Image_02	Avg	nos-2
26	56	57	82	258	39	6	True	Image_02	Avg	nos-2
27	57	58	76	293	47	5	True	Image_02	Avg	nos-2
28	62	63	101	232	49	10	True	Image_02	Avg	nos-2
29	63	64	122	237	46	53	True	Image_02	Avg	nos-2
30	64	65	109	215	45	33	True	Image_02	Avg	nos-2
31	65	66	57	301	46	18	True	Image_02	Avg	nos-2
32	69	70	72	261	46	6	True	Image_02	Avg	nos-2
33	70	71	113	284	44	12	True	Image_02	Avg	nos-2
34	74	75	113	259	51	19	True	Image_02	Avg	nos-2
35	0	1	113	190	38	11	True	Image_03	Avg	nos-2
