;index;z;y;x;n_rna;coloc
0;1;54;321;18;10;True
1;2;104;337;16;31;True
2;3;115;274;15;11;False
3;4;174;238;10;5;False
4;5;114;265;12;25;True
5;6;108;264;26;20;True
6;7;246;157;11;5;False
7;8;226;156;12;7;False
8;9;467;163;12;5;False
9;10;125;303;16;23;True
10;11;129;328;14;7;False
11;12;123;327;11;5;True
12;13;119;349;16;29;True
13;14;150;362;11;7;False
14;15;285;165;14;5;False
15;16;82;339;14;12;True
16;17;330;78;14;6;False
17;18;289;108;13;8;False
18;19;122;221;15;13;False
19;20;258;225;18;10;False
20;21;53;294;21;64;True
21;22;90;291;15;29;True
22;23;91;312;15;7;True
23;24;323;50;15;5;False
24;25;137;306;13;5;False
25;26;475;182;17;7;False
26;27;76;239;17;17;True
27;28;100;376;18;5;True
28;29;318;65;18;5;False
29;30;488;124;24;8;False
30;31;488;122;19;5;False
31;32;277;237;17;8;False
32;33;295;81;18;7;False
33;34;214;148;18;6;False
34;35;457;172;17;5;False
35;36;297;236;22;5;False
36;37;298;237;17;5;False
37;38;172;291;18;7;False
38;39;178;295;21;4;False
39;40;318;94;30;6;False
40;41;362;161;28;5;False
41;42;50;329;29;9;True
42;43;133;278;24;5;False
43;44;370;83;23;5;False
44;45;107;225;31;17;True
45;46;65;329;26;6;False
46;47;114;364;26;5;False
47;48;84;223;27;5;True
48;49;176;158;30;6;False
49;50;400;214;30;6;False
50;51;112;219;34;6;True
51;52;64;259;31;6;False
52;53;88;376;31;6;True
53;54;296;130;34;5;False
54;55;153;127;39;5;False
55;56;165;204;46;5;False
56;57;82;258;39;6;True
57;58;76;293;47;5;True
58;59;106;282;36;9;False
59;60;291;58;37;5;False
60;61;208;301;41;5;False
61;62;247;313;38;5;False
62;63;101;232;49;10;True
63;64;122;237;46;53;True
64;65;109;215;45;33;True
65;66;57;301;46;18;True
66;67;313;162;44;6;False
67;68;289;147;51;7;False
68;69;322;175;47;5;False
69;70;72;261;46;6;True
70;71;113;284;44;12;True
71;72;181;287;46;6;False
72;73;177;287;54;5;False
73;74;338;107;48;5;False
74;75;113;259;51;19;True
75;76;190;135;54;8;False
76;77;174;139;57;5;False
77;78;255;88;55;5;False
78;79;150;167;52;5;False
