;index;z;y;x;radius;int_mean;coloc
0;1;38;443;215;4.085505846855608;1628;False
1;2;37;455;174;6.599663291074443;2195;True
2;3;36;487;260;4.085505846855608;1997;True
3;4;35;490;230;4.085505846855608;1311;False
4;5;35;455;261;4.085505846855608;2038;True
5;6;33;460;157;5.342584568965026;2415;True
6;7;33;449;430;2.8284271247461903;483;False
7;8;32;489;279;5.342584568965026;2237;True
8;9;32;399;453;4.085505846855608;1691;False
9;10;31;473;178;2.8284271247461903;800;False
10;11;30;432;230;2.8284271247461903;832;False
11;12;28;482;171;5.342584568965026;2209;True
12;13;28;433;170;7.856742013183862;2240;True
13;14;26;451;141;2.8284271247461903;1553;True
14;15;26;417;305;4.085505846855608;369;False
15;16;24;395;463;5.342584568965026;2130;False
16;17;23;429;463;6.599663291074443;1781;False
17;18;23;404;228;4.085505846855608;839;False
18;19;22;460;169;2.8284271247461903;1390;True
19;20;21;433;210;5.342584568965026;1890;True
20;21;20;482;299;2.8284271247461903;577;False
21;22;20;392;455;2.8284271247461903;1970;False
22;23;18;459;193;4.085505846855608;2034;True
23;24;18;436;267;2.8284271247461903;388;True
24;25;16;506;236;2.8284271247461903;629;False
25;26;15;439;245;2.8284271247461903;493;True
26;27;15;425;180;4.085505846855608;1949;True
27;28;9;380;463;4.085505846855608;674;False
