probe	center	histRNA_all	histRNA_all_norm	histpix_all_norm	hist_RNA_all_normPix
1	erm-1	5	1822	0.327403	0.23588	1.388011
2	erm-1	15	704	0.126505	0.173903	0.727447
3	erm-1	25	738	0.132615	0.152509	0.869551
4	erm-1	35	647	0.116262	0.128596	0.904092
5	erm-1	45	533	0.095777	0.103133	0.928672
6	erm-1	55	404	0.072597	0.080029	0.907131
7	erm-1	65	344	0.061815	0.058797	1.051322
8	erm-1	75	231	0.041509	0.039839	1.04193
9	erm-1	85	142	0.025517	0.027314	0.934185
10	neongreen	5	2712	0.183454	0.23588	0.777744
11	neongreen	15	2468	0.166949	0.173903	0.960011
12	neongreen	25	2274	0.153825	0.152509	1.008629
13	neongreen	35	1942	0.131367	0.128596	1.021551
14	neongreen	45	1777	0.120206	0.103133	1.165535
15	neongreen	55	1337	0.090442	0.080029	1.130115
16	neongreen	65	1105	0.074748	0.058797	1.271283
17	neongreen	75	662	0.044781	0.039839	1.124054
18	neongreen	85	506	0.034229	0.027314	1.253134
