Image	X3UTR	Transcript	Cell_Stage	Total_No_RNA	No_RNA_clusters	No_RNA_in_clusters	fraction_RNA_in_clusters	Average_No_RNA_per_Cluster
1	2-cell_02_C1	chs-1	mNG	2-cell	268	3	19	0.070895522	6.333333333
2	2-cell_02_C2	chs-1	chs-1	2-cell	1193	38	324	0.271584241	8.526315789
3	2-cell_02-2_C1	chs-1	mNG	2-cell	144	0	0	0	NA
4	2-cell_02-2_C2	chs-1	chs-1	2-cell	446	16	149	0.334080717	9.3125
5	2-cell_03_C1	chs-1	mNG	2-cell	288	0	0	0	NA
6	2-cell_03_C2	chs-1	chs-1	2-cell	720	23	175	0.243055556	7.608695652
7	2-cell_09_C1	chs-1	mNG	2-cell	299	1	5	0.016722408	5
8	2-cell_09_C2	chs-1	chs-1	2-cell	993	27	327	0.329305136	12.11111111
9	2-cell_10_C1	chs-1	mNG	2-cell	90	0	0	0	NA
10	2-cell_10_C2	chs-1	chs-1	2-cell	547	15	131	0.239488117	8.733333333
11	4-cell_02_C1	chs-1	mNG	4-cell	66	1	6	0.090909091	6
12	4-cell_02_C2	chs-1	chs-1	4-cell	342	13	119	0.347953216	9.153846154
13	4-cell_07_C1	chs-1	mNG	4-cell	103	0	0	0	NA
14	4-cell_07_C2	chs-1	chs-1	4-cell	657	25	298	0.453576865	11.92
15	4-cell_14_C1	chs-1	mNG	4-cell	44	0	0	0	NA
16	4-cell_14_C2	chs-1	chs-1	4-cell	342	12	143	0.418128655	11.91666667
17	4-cell_17_C1	chs-1	mNG	4-cell	114	1	7	0.061403509	7
18	4-cell_17_C2	chs-1	chs-1	4-cell	268	9	66	0.246268657	7.333333333
19	4-cell_20_C1	chs-1	mNG	4-cell	75	0	0	0	NA
20	4-cell_20_C2	chs-1	chs-1	4-cell	239	13	77	0.322175732	5.923076923
21	8-cell_05_C1	chs-1	mNG	8-cell	56	1	5	0.089285714	5
22	8-cell_05_C2	chs-1	chs-1	8-cell	138	5	45	0.326086957	9
23	8-cell_05-5_C1	chs-1	mNG	8-cell	32	0	0	0	NA
24	8-cell_05-5_C2	chs-1	chs-1	8-cell	192	7	64	0.333333333	9.142857143
25	8-cell_06_C1	chs-1	mNG	8-cell	61	0	0	0	NA
26	8-cell_06_C2	chs-1	chs-1	8-cell	137	5	46	0.335766423	9.2
27	8-cell_08_C1	chs-1	mNG	8-cell	29	0	0	0	NA
28	8-cell_08_C2	chs-1	chs-1	8-cell	142	4	25	0.176056338	6.25
29	8-cell_13_C1	chs-1	mNG	8-cell	60	0	0	0	NA
30	8-cell_13_C2	chs-1	chs-1	8-cell	233	8	69	0.296137339	8.625
31	10-16-cell_06_C1	chs-1	mNG	10-16-cell	39	0	0	0	NA
32	10-16-cell_06_C2	chs-1	chs-1	10-16-cell	78	3	22	0.282051282	7.333333333
33	10-16-cell_07_C1	chs-1	mNG	10-16-cell	79	0	0	0	NA
34	10-16-cell_07_C2	chs-1	chs-1	10-16-cell	112	6	58	0.517857143	9.666666667
35	10-16-cell_08_C1	chs-1	mNG	10-16-cell	41	0	0	0	NA
36	10-16-cell_08_C2	chs-1	chs-1	10-16-cell	99	4	30	0.303030303	7.5
37	10-16-cell_16_C1	chs-1	mNG	10-16-cell	21	0	0	0	NA
38	10-16-cell_16_C2	chs-1	chs-1	10-16-cell	35	0	0	0	NA
39	10-16-cell_19_C1	chs-1	mNG	10-16-cell	18	0	0	0	NA
40	10-16-cell_19_C2	chs-1	chs-1	10-16-cell	113	6	52	0.460176991	8.666666667
