Condition,Stage,Image_n,Probe,n_RNA_clusters,Overlap,n_P_granules,%_clusters_in_Pgran,%_Pgran_in_clusters
HS,2-cell,Image_10_191016,B04957,135,50,108,0.37037037,0.462962963
HS,2-cell,Image_10_191016,set-3,33,21,108,0.636363636,0.194444444
HS,4-cell,Image_03_191010,B04957,98,15,146,0.153061224,0.102739726
HS,4-cell,Image_03_191010,set-3,30,11,146,0.366666667,0.075342466
HS,4-cell,Image_04_191016,B04957,124,20,126,0.161290323,0.158730159
HS,4-cell,Image_04_191016,set-3,16,8,126,0.5,0.063492063
HS,4-cell,Image_07_191016,B04957,47,12,79,0.255319149,0.151898734
HS,4-cell,Image_07_191016,set-3,12,9,79,0.75,0.113924051
HS,4-cell,Image_09_191028,B04957,107,41,180,0.38317757,0.227777778
HS,4-cell,Image_09_191028,set-3,18,11,180,0.611111111,0.061111111
HS,4-cell,Image_10_191028,B04957,136,55,181,0.404411765,0.303867403
HS,4-cell,Image_10_191028,set-3,24,15,181,0.625,0.082872928
HS,4-cell,Image_12_191016,B04957,54,12,222,0.222222222,0.054054054
HS,4-cell,Image_12_191016,set-3,10,4,222,0.4,0.018018018
HS,4-cell,Image_15_191028,B04957,165,44,121,0.266666667,0.363636364
HS,4-cell,Image_15_191028,set-3,30,13,121,0.433333333,0.107438017
HS,6-cell,Image_14_191016,B04957,71,10,52,0.14084507,0.192307692
HS,6-cell,Image_14_191016,set-3,21,5,83,0.238095238,0.060240964
HS,8-cell,Image_08_191014,B04957,23,2,61,0.086956522,0.032786885
HS,8-cell,Image_08_191014,set-3,6,2,61,0.333333333,0.032786885
HS,8-cell,Image_13_191014,B04957,55,4,54,0.072727273,0.074074074
HS,8-cell,Image_13_191014,set-3,6,3,54,0.5,0.055555556
HS,8-cell,Image_14_191014,B04957,74,3,42,0.040540541,0.071428571
HS,8-cell,Image_14_191014,set-3,4,2,42,0.5,0.047619048
HS,8-cell,Image_15_191016,B04957,134,27,110,0.201492537,0.245454545
HS,8-cell,Image_15_191016,set-3,26,10,110,0.384615385,0.090909091
HS,12-cell,Image_03_191014,B04957,76,16,115,0.210526316,0.139130435
HS,12-cell,Image_03_191014,set-3,15,6,301,0.4,0.019933555
HS,14-cell,Image_02_191014,B04957,60,9,162,0.15,0.055555556
HS,14-cell,Image_02_191014,set-3,3,2,106,0.666666667,0.018867925
HS,14-cell,Image_06_191014,B04957,75,17,182,0.226666667,0.093406593
HS,14-cell,Image_06_191014,set-3,1,1,182,1,0.005494505
HS,16-cell,Image_11_191016,B04957,136,7,14,0.051470588,0.5
HS,16-cell,Image_11_191016,set-3,11,5,14,0.454545455,0.357142857
HS,16-cell,Image_12_191014,B04957,85,6,34,0.070588235,0.176470588
HS,16-cell,Image_12_191014,set-3,4,3,34,0.75,0.088235294
No_HS,2-cell,Image_08_191014,B04957,51,0,70,0,0
No_HS,2-cell,Image_08_191014,set-3,6,1,70,0.166666667,0.014285714
No_HS,4-cell,Image_02_191016,B04957,44,9,190,0.204545455,0.047368421
No_HS,4-cell,Image_02_191016,set-3,6,3,190,0.5,0.015789474
No_HS,4-cell,Image_06_191014,B04957,165,4,43,0.024242424,0.093023256
No_HS,4-cell,Image_06_191014,set-3,12,2,43,0.166666667,0.046511628
No_HS,4-cell,Image_07_191010,B04957,36,2,150,0.055555556,0.013333333
No_HS,4-cell,Image_07_191010,set-3,4,0,150,0,0
No_HS,4-cell,Image_11_191010,B04957,71,4,174,0.056338028,0.022988506
No_HS,4-cell,Image_11_191010,set-3,6,1,174,0.166666667,0.005747126
