Condition	Stage	Image_n	Probe	Number_of_clusters_with_overlap
HS	2-cell	Image_10_191016	B04957	50
HS	2-cell	Image_10_191016	set-3	21
HS	4-cell	Image_03_191010	B04957	15
HS	4-cell	Image_03_191010	set-3	11
HS	4-cell	Image_04_191016	B04957	20
HS	4-cell	Image_04_191016	set-3	8
HS	4-cell	Image_07_191016	B04957	12
HS	4-cell	Image_07_191016	set-3	9
HS	4-cell	Image_09_191028	B04957	41
HS	4-cell	Image_09_191028	set-3	11
HS	4-cell	Image_10_191028	B04957	55
HS	4-cell	Image_10_191028	set-3	15
HS	4-cell	Image_12_191016	B04957	12
HS	4-cell	Image_12_191016	set-3	4
HS	4-cell	Image_15_191028	B04957	44
HS	4-cell	Image_15_191028	set-3	13
HS	6-cell	Image_14_191016	B04957	10
HS	6-cell	Image_14_191016	set-3	5
HS	8-cell	Image_08_191014	B04957	2
HS	8-cell	Image_08_191014	set-3	2
HS	8-cell	Image_13_191014	B04957	4
HS	8-cell	Image_13_191014	set-3	3
HS	8-cell	Image_14_191014	B04957	3
HS	8-cell	Image_14_191014	set-3	2
HS	8-cell	Image_15_191016	B04957	27
HS	8-cell	Image_15_191016	set-3	10
HS	12-cell	Image_03_191014	B04957	16
HS	12-cell	Image_03_191014	set-3	6
HS	14-cell	Image_02_191014	B04957	9
HS	14-cell	Image_02_191014	set-3	2
HS	14-cell	Image_06_191014	B04957	17
HS	14-cell	Image_06_191014	set-3	1
HS	16-cell	Image_11_191016	B04957	7
HS	16-cell	Image_11_191016	set-3	5
HS	16-cell	Image_12_191014	B04957	6
HS	16-cell	Image_12_191014	set-3	3
No_HS	2-cell	Image_08_191014	B04957	0
No_HS	2-cell	Image_08_191014	set-3	1
No_HS	4-cell	Image_02_191016	B04957	9
No_HS	4-cell	Image_02_191016	set-3	3
No_HS	4-cell	Image_06_191014	B04957	4
No_HS	4-cell	Image_06_191014	set-3	2
No_HS	4-cell	Image_07_191010	B04957	2
No_HS	4-cell	Image_07_191010	set-3	0
No_HS	4-cell	Image_11_191010	B04957	4
No_HS	4-cell	Image_11_191010	set-3	1
No_HS	4-cell	Image_11_191016	B04957	1
No_HS	4-cell	Image_11_191016	set-3	2
No_HS	4-cell	Image_12_191016	B04957	4
No_HS	4-cell	Image_12_191016	set-3	2
No_HS	4-cell	Image_13_191014	B04957	3
No_HS	4-cell	Image_13_191014	set-3	2
No_HS	6-cell	Image_04_191014	B04957	3
No_HS	6-cell	Image_04_191014	set-3	4
No_HS	8-cell	Image_02_191010	B04957	1
No_HS	8-cell	Image_02_191010	set-3	2
No_HS	8-cell	Image_09_191014	B04957	0
No_HS	8-cell	Image_09_191014	set-3	3
No_HS	8-cell	Image_13_191010	B04957	0
No_HS	8-cell	Image_13_191010	set-3	1
No_HS	8-cell	Image_15_191016	B04957	1
No_HS	8-cell	Image_15_191016	set-3	1
No_HS	12-cell	Image_04_191016	B04957	1
No_HS	12-cell	Image_04_191016	set-3	3
No_HS	14-cell	Image_02_191014	B04957	0
No_HS	14-cell	Image_02_191014	set-3	0
No_HS	14-cell	Image_14_191010	B04957	1
No_HS	14-cell	Image_14_191010	set-3	2
No_HS	16-cell	Image_03_191010	B04957	1
No_HS	16-cell	Image_03_191010	set-3	1
No_HS	16-cell	Image_14_191014	B04957	2
No_HS	16-cell	Image_14_191014	set-3	0
HS	2-cell	Image_04_191014	gpd-2	3
HS	2-cell	Image_07_right_191016	gpd-2	38
HS	4-cell	Image_05_191014	gpd-2	7
HS	4-cell	Image_08_191016	gpd-2	18
HS	4-cell	Image_10_191014	gpd-2	1
HS	4-cell	Image_11_191014	gpd-2	16
HS	4-cell	Image_12_191014	gpd-2	14
HS	6-cell	Image_02_191016	gpd-2	6
HS	8-cell	Image_01_191014	gpd-2	5
HS	8-cell	Image_06_191014	gpd-2	4
HS	8-cell	Image_14_191014	gpd-2	1
HS	8-cell	Image_15_191014	gpd-2	5
HS	12-cell	Image_02_191010	gpd-2	7
HS	12-cell	Image_16_191014	gpd-2	5
HS	12-cell	Image_17_191014	gpd-2	5
HS	14-cell	Image_02_191014	gpd-2	3
HS	14-cell	Image_13_191014	gpd-2	2
HS	16-cell	Image_05_191016	gpd-2	4
No_HS	2-cell	Image_03_191016	gpd-2	0
No_HS	2-cell	Image_04_191014	gpd-2	0
No_HS	4-cell	Image_01_191014	gpd-2	1
No_HS	4-cell	Image_05_191010	gpd-2	1
No_HS	4-cell	Image_05_191014	gpd-2	0
No_HS	4-cell	Image_08_191016	gpd-2	1
No_HS	4-cell	Image_14_191016	gpd-2	1
No_HS	6-cell	Image_07_191014	gpd-2	2
No_HS	8-cell	Image_02_191014	gpd-2	3
No_HS	8-cell	Image_03_191014	gpd-2	2
No_HS	8-cell	Image_09_191014	gpd-2	0
No_HS	8-cell	Image_10_191016	gpd-2	1
No_HS	8-cell	Image_12_191016	gpd-2	2
No_HS	12-cell	Image_08_191014	gpd-2	3
No_HS	12-cell	Image_10_191014	gpd-2	2
No_HS	12-cell	Image_11_191016	gpd-2	2
No_HS	14-cell	Image_09_191010	gpd-2	4
No_HS	14-cell	Image_09_191016	gpd-2	3
No_HS	16-cell	Image_05_191016	gpd-2	1
