probe	center	width	histRNA_all	histPIX_all	histRNA_norm	RNA_norm	PIX_norm	histRNA_SCALED
1	imb-2	-10	20	82	229302	0.003163	0.577464789	0.675562129	0.854791535
2	imb-2	10	20	491	670344	0.006479	3.457746479	1.974945791	1.750805767
3	imb-2	30	20	384	1004676	0.003381	2.704225352	2.959943905	0.91360696
4	imb-2	50	20	375	1069259	0.003102	2.64084507	3.150216249	0.838305964
5	imb-2	70	20	326	946004	0.003048	2.295774648	2.787086358	0.823718519
6	imb-2	90	20	99	265254	0.003301	0.697183099	0.781482747	0.892128586
7	imb-2	110	20	31	83299	0.003292	0.218309859	0.245412817	0.889561767
8	imb-2	130	20	25	80769	0.002738	0.176056338	0.237959013	0.739859927
9	imb-2	150	20	38	77049	0.004363	0.267605634	0.226999269	1.178883239
10	imb-2	170	20	31	71757	0.003821	0.218309859	0.21140815	1.032646371
11	imb-2	190	20	28	65254	0.003796	0.197183099	0.192249222	1.02566396
12	imb-2	210	20	19	52916	0.003176	0.133802817	0.155899406	0.858263802
13	imb-2	230	20	14	37622	0.003292	0.098591549	0.110840718	0.889488545
14	imb-2	250	20	12	34826	0.003048	0.084507042	0.102603234	0.823629424
15	imb-2	NA	SUM	142	339424	NA	NA	NA	NA
16	neongreen	-10	20	0	229302	0	0	0.675562129	0
17	neongreen	10	20	14	670344	0.003644	2.333333333	1.974945791	1.181467028
18	neongreen	30	20	25	1004676	0.004341	4.166666667	2.959943905	1.407684335
19	neongreen	50	20	17	1069259	0.002774	2.833333333	3.150216249	0.899409155
20	neongreen	70	20	19	946004	0.003504	3.166666667	2.787086358	1.136192518
21	neongreen	90	20	7	265254	0.004604	1.166666667	0.781482747	1.492888577
22	neongreen	110	20	4	83299	0.008378	0.666666667	0.245412817	2.716511203
23	neongreen	130	20	2	80769	0.00432	0.333333333	0.237959013	1.400801463
24	neongreen	150	20	2	77049	0.004529	0.333333333	0.226999269	1.468433508
25	neongreen	170	20	0	71757	0	0	0.21140815	0
26	neongreen	190	20	1	65254	0.002674	0.166666667	0.192249222	0.866930252
27	neongreen	210	20	2	52916	0.006594	0.333333333	0.155899406	2.138130874
28	neongreen	230	20	1	37622	0.004637	0.166666667	0.110840718	1.503659206
29	neongreen	250	20	0	34826	0	0	0.102603234	0
30	neongreen	NA	SUM	6	339424	NA	NA	NA	NA
