RowNo	Image	RNAi_Condition	Transcript	Cell_Stage	Total_No_RNA	No_RNA_clusters	No_RNA_in_clusters	fraction_RNA_in_clusters	Average_No_RNA_per_Cluster
1	4-cell_01_C1	L4440	nos-2	4-cell	4127	99	737	0.178580082	7.444444444
2	4-cell_01_C2	L4440	chs-1	4-cell	1179	33	578	0.490245971	17.51515152
3	4-cell_05_C1	L4440	nos-2	4-cell	6317	203	1833	0.290169384	9.02955665
4	4-cell_05_C2	L4440	chs-1	4-cell	890	36	412	0.462921348	11.44444444
5	4-cell_07_C1	L4440	nos-2	4-cell	6685	191	1301	0.194614809	6.811518325
6	4-cell_07_C2	L4440	chs-1	4-cell	906	21	344	0.379690949	16.38095238
7	4-cell_18_C1	L4440	nos-2	4-cell	5849	157	1363	0.233031287	8.681528662
8	4-cell_18_C2	L4440	chs-1	4-cell	517	17	280	0.541586074	16.47058824
9	4-cell_19_C1	L4440	nos-2	4-cell	9633	287	2326	0.241461642	8.104529617
10	4-cell_19_C2	L4440	chs-1	4-cell	322	11	121	0.375776398	11
11	8-cell_06_C1	L4440	nos-2	8-cell	3150	53	515	0.163492063	9.716981132
12	8-cell_06_C2	L4440	chs-1	8-cell	653	8	87	0.13323124	10.875
13	8-cell_10_C1	L4440	nos-2	8-cell	5999	160	1660	0.276712785	10.375
14	8-cell_10_C2	L4440	chs-1	8-cell	421	19	247	0.586698337	13
15	8-cell_15_C1	L4440	nos-2	8-cell	3405	59	952	0.27958884	16.13559322
16	8-cell_15_C2	L4440	chs-1	8-cell	133	6	81	0.609022556	13.5
17	8-cell_19-1_C1	L4440	nos-2	8-cell	2517	32	533	0.211760032	16.65625
18	8-cell_19-1_C2	L4440	chs-1	8-cell	960	11	202	0.210416667	18.36363636
19	8-cell_19-2_C1	L4440	nos-2	8-cell	3092	62	677	0.218952135	10.91935484
20	8-cell_19-2_C2	L4440	chs-1	8-cell	135	6	74	0.548148148	12.33333333
21	12-14-cell_01_C1	L4440	nos-2	12-14-cell	1415	30	437	0.308833922	14.56666667
22	12-14-cell_01_C2	L4440	chs-1	12-14-cell	293	8	74	0.252559727	9.25
23	12-14-cell_02_C1	L4440	nos-2	12-14-cell	5231	164	1446	0.276428981	8.817073171
24	12-14-cell_06_C1	L4440	nos-2	12-14-cell	2376	32	218	0.091750842	6.8125
25	12-14-cell_06_C2	L4440	chs-1	12-14-cell	104	4	55	0.528846154	13.75
26	12-14-cell_06-2_C1	L4440	nos-2	12-14-cell	2305	23	894	0.387852495	38.86956522
27	12-14-cell_06-2_C2	L4440	chs-1	12-14-cell	64	3	29	0.453125	9.666666667
28	12-14-cell_07_C1	L4440	nos-2	12-14-cell	1092	17	522	0.478021978	30.70588235
29	12-14-cell_07_C2	L4440	chs-1	12-14-cell	61	1	7	0.114754098	7
30	12-14-cell_07-2_C1	L4440	nos-2	12-14-cell	2520	54	620	0.246031746	11.48148148
31	12-14-cell_10_C1	L4440	nos-2	12-14-cell	3672	60	740	0.201525054	12.33333333
32	12-14-cell_13_C1	L4440	nos-2	12-14-cell	4552	77	643	0.141256591	8.350649351
33	12-14-cell_19_C1	L4440	nos-2	12-14-cell	3890	63	1228	0.315681234	19.49206349
