Condition    Stage    Image_n    Probe    index    z    y    x    n_rna    coloc
HS    2-cell    Image_10_191016    B04957    1    86    242    19    19    FALSE
HS    2-cell    Image_10_191016    B04957    2    92    300    11    9    FALSE
HS    2-cell    Image_10_191016    B04957    3    100    247    22    5    FALSE
HS    2-cell    Image_10_191016    B04957    4    118    428    15    7    FALSE
HS    2-cell    Image_10_191016    B04957    5    115    450    17    7    FALSE
HS    2-cell    Image_10_191016    B04957    6    125    465    16    7    FALSE
HS    2-cell    Image_10_191016    B04957    7    147    337    11    7    FALSE
HS    2-cell    Image_10_191016    B04957    8    168    278    26    6    FALSE
HS    2-cell    Image_10_191016    B04957    9    165    151    11    8    FALSE
HS    2-cell    Image_10_191016    B04957    10    166    506    18    6    FALSE
HS    2-cell    Image_10_191016    B04957    11    175    267    12    13    FALSE
HS    2-cell    Image_10_191016    B04957    12    196    407    19    5    FALSE
HS    2-cell    Image_10_191016    B04957    13    200    176    13    8    FALSE
HS    2-cell    Image_10_191016    B04957    14    219    158    13    20    FALSE
HS    2-cell    Image_10_191016    B04957    15    235    151    23    7    FALSE
HS    2-cell    Image_10_191016    B04957    16    251    433    15    34    FALSE
HS    2-cell    Image_10_191016    B04957    17    254    484    21    9    FALSE
HS    2-cell    Image_10_191016    B04957    18    267    350    27    6    TRUE
HS    2-cell    Image_10_191016    B04957    19    310    210    18    5    FALSE
HS    2-cell    Image_10_191016    B04957    20    314    527    12    34    TRUE
HS    2-cell    Image_10_191016    B04957    21    332    396    10    6    TRUE
HS    2-cell    Image_10_191016    B04957    22    347    239    25    9    FALSE
HS    2-cell    Image_10_191016    B04957    23    357    467    14    5    TRUE
HS    2-cell    Image_10_191016    B04957    24    380    422    24    13    TRUE
HS    2-cell    Image_10_191016    B04957    25    381    389    10    13    TRUE
HS    2-cell    Image_10_191016    B04957    26    402    536    21    10    TRUE
HS    2-cell    Image_10_191016    B04957    27    406    474    12    19    TRUE
HS    2-cell    Image_10_191016    B04957    28    453    277    12    17    TRUE
HS    2-cell    Image_10_191016    B04957    29    443    481    16    14    TRUE
HS    2-cell    Image_10_191016    B04957    30    452    561    19    42    TRUE
HS    2-cell    Image_10_191016    B04957    31    459    493    21    9    TRUE
HS    2-cell    Image_10_191016    B04957    32    476    516    23    8    TRUE
HS    2-cell    Image_10_191016    B04957    33    503    378    9    5    TRUE
HS    2-cell    Image_10_191016    B04957    34    508    470    25    10    TRUE
HS    2-cell    Image_10_191016    B04957    35    132    192    10    13    FALSE
HS    2-cell    Image_10_191016    B04957    36    329    205    10    5    FALSE
HS    2-cell    Image_10_191016    B04957    37    123    217    9    5    FALSE
HS    2-cell    Image_10_191016    B04957    38    394    277    10    17    TRUE
HS    2-cell    Image_10_191016    B04957    39    377    337    9    8    FALSE
HS    2-cell    Image_10_191016    B04957    40    230    377    9    6    FALSE
HS    2-cell    Image_10_191016    B04957    41    476    414    10    7    TRUE
HS    2-cell    Image_10_191016    B04957    42    436    439    9    6    TRUE
HS    2-cell    Image_10_191016    B04957    43    355    486    11    14    TRUE
HS    2-cell    Image_10_191016    B04957    44    254    545    9    5    FALSE
HS    2-cell    Image_10_191016    B04957    45    61    191    10    5    FALSE
HS    2-cell    Image_10_191016    B04957    46    128    197    17    5    FALSE
HS    2-cell    Image_10_191016    B04957    47    189    214    11    6    FALSE
HS    2-cell    Image_10_191016    B04957    48    115    265    10    5    FALSE
HS    2-cell    Image_10_191016    B04957    49    130    276    11    7    FALSE
HS    2-cell    Image_10_191016    B04957    50    177    355    10    7    FALSE
HS    2-cell    Image_10_191016    B04957    51    417    393    11    12    TRUE
HS    2-cell    Image_10_191016    B04957    52    106    420    11    6    FALSE
HS    2-cell    Image_10_191016    B04957    53    452    489    10    9    TRUE
HS    2-cell    Image_10_191016    B04957    54    241    494    15    7    FALSE
HS    2-cell    Image_10_191016    B04957    55    250    503    20    5    FALSE
HS    2-cell    Image_10_191016    B04957    56    388    510    25    8    TRUE
HS    2-cell    Image_10_191016    B04957    57    346    531    11    11    TRUE
HS    2-cell    Image_10_191016    B04957    58    157    165    16    10    FALSE
HS    2-cell    Image_10_191016    B04957    59    390    266    11    7    TRUE
HS    2-cell    Image_10_191016    B04957    60    381    313    11    7    TRUE
HS    2-cell    Image_10_191016    B04957    61    415    344    10    6    TRUE
HS    2-cell    Image_10_191016    B04957    62    155    402    11    6    FALSE
HS    2-cell    Image_10_191016    B04957    63    384    447    11    23    TRUE
HS    2-cell    Image_10_191016    B04957    64    337    231    13    9    FALSE
HS    2-cell    Image_10_191016    B04957    65    202    378    12    8    FALSE
HS    2-cell    Image_10_191016    B04957    66    157    410    18    5    FALSE
HS    2-cell    Image_10_191016    B04957    67    192    415    14    7    FALSE
HS    2-cell    Image_10_191016    B04957    68    312    560    18    5    TRUE
HS    2-cell    Image_10_191016    B04957    69    313    563    11    5    TRUE
HS    2-cell    Image_10_191016    B04957    70    251    166    16    8    FALSE
HS    2-cell    Image_10_191016    B04957    71    338    165    15    14    FALSE
HS    2-cell    Image_10_191016    B04957    72    259    196    15    14    FALSE
HS    2-cell    Image_10_191016    B04957    73    160    226    13    8    FALSE
HS    2-cell    Image_10_191016    B04957    74    198    487    13    8    FALSE
HS    2-cell    Image_10_191016    B04957    75    205    102    13    5    FALSE
HS    2-cell    Image_10_191016    B04957    76    212    127    14    7    FALSE
HS    2-cell    Image_10_191016    B04957    77    75    201    14    8    FALSE
HS    2-cell    Image_10_191016    B04957    78    336    462    14    8    TRUE
HS    2-cell    Image_10_191016    B04957    79    383    590    15    13    TRUE
HS    2-cell    Image_10_191016    B04957    80    134    128    15    6    FALSE
HS    2-cell    Image_10_191016    B04957    81    215    176    16    10    FALSE
HS    2-cell    Image_10_191016    B04957    82    101    184    17    9    FALSE
HS    2-cell    Image_10_191016    B04957    83    219    191    19    13    FALSE
HS    2-cell    Image_10_191016    B04957    84    32    316    16    6    FALSE
HS    2-cell    Image_10_191016    B04957    85    49    349    15    10    FALSE
HS    2-cell    Image_10_191016    B04957    86    128    150    16    10    FALSE
HS    2-cell    Image_10_191016    B04957    87    321    230    16    7    FALSE
HS    2-cell    Image_10_191016    B04957    88    349    320    21    12    TRUE
HS    2-cell    Image_10_191016    B04957    89    237    187    20    8    FALSE
HS    2-cell    Image_10_191016    B04957    90    54    267    17    7    FALSE
HS    2-cell    Image_10_191016    B04957    91    312    316    18    15    TRUE
HS    2-cell    Image_10_191016    B04957    92    318    428    18    6    TRUE
HS    2-cell    Image_10_191016    B04957    93    456    483    23    5    TRUE
HS    2-cell    Image_10_191016    B04957    94    463    483    18    7    TRUE
HS    2-cell    Image_10_191016    B04957    95    338    566    23    9    TRUE
